having_IP_Address,URL_Length,Shortining_Service,having_At_Symbol,double_slash_redirecting,Prefix_Suffix,having_Sub_Domain,SSLfinal_State,Domain_registeration_length,Favicon,port,HTTPS_token,Request_URL,Submitting_to_email,Redirect,RightClick,popUpWidnow,Iframe,Result
1,-1,1,1,-1,1,1,1,-1,-1,-1,1,1,-1,1,1,-1,1,1
1,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,1,0,1,1,1,-1
-1,-1,-1,1,-1,-1,-1,1,-1,1,1,-1,1,-1,1,1,1,1,1
1,-1,1,1,-1,-1,0,-1,1,1,1,1,-1,1,0,1,1,1,-1
1,1,1,1,1,-1,0,1,-1,1,1,1,1,1,0,1,1,1,1
1,-1,1,1,1,1,-1,1,-1,1,1,1,1,1,0,1,1,1,1
1,1,1,-1,1,-1,1,1,-1,1,1,-1,1,1,0,1,1,1,1
1,1,1,1,1,-1,1,1,-1,-1,1,-1,1,1,0,1,-1,1,1
-1,-1,-1,1,1,-1,0,0,-1,1,1,-1,-1,-1,0,1,1,1,-1
1,-1,1,1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,0,1,-1,1,-1
1,1,1,1,-1,-1,-1,1,-1,-1,1,-1,1,1,0,1,-1,1,1
1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,0,1,1,1,1
-1,1,-1,1,-1,-1,0,0,-1,1,1,-1,1,1,0,1,1,1,-1
1,-1,1,1,1,-1,1,-1,-1,1,1,-1,1,1,0,1,1,1,-1
-1,-1,-1,1,-1,1,1,1,1,1,1,-1,-1,-1,0,1,1,1,1
1,-1,1,1,1,-1,1,1,-1,1,1,-1,-1,-1,0,1,1,1,1
1,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,1,0,1,1,1,-1
1,-1,1,1,1,-1,1,1,-1,1,1,1,1,1,0,1,1,1,1
1,-1,1,1,1,-1,-1,-1,1,1,1,1,-1,1,0,1,1,1,-1
1,-1,1,1,1,-1,1,1,-1,1,1,1,1,1,0,1,1,1,-1
1,1,1,1,1,-1,-1,-1,-1,1,1,-1,1,1,0,1,1,1,-1
-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,1,-1,1,-1
1,-1,1,1,1,-1,1,1,-1,1,1,-1,1,1,0,1,1,1,1
1,-1,1,1,1,-1,-1,-1,-1,1,1,-1,1,1,0,1,1,1,-1
1,-1,1,1,1,-1,-1,-1,1,1,1,-1,-1,1,0,1,1,1,-1
1,-1,1,1,1,-1,0,1,1,1,1,1,-1,1,0,1,1,1,1
1,-1,1,1,1,-1,-1,-1,1,1,1,1,-1,1,0,1,1,1,-1
1,-1,1,1,1,-1,-1,1,-1,1,1,1,1,-1,0,1,1,1,1
1,-1,1,1,1,-1,-1,-1,-1,1,1,1,-1,1,0,1,1,1,-1
1,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,0,1,1,1,-1
1,-1,1,1,1,-1,1,-1,-1,1,1,1,-1,-1,0,1,1,1,-1
1,-1,1,1,1,-1,0,1,-1,1,1,1,1,-1,0,1,1,1,1
1,-1,1,1,1,-1,-1,-1,1,1,1,1,-1,1,0,1,1,1,-1
1,-1,1,1,1,-1,1,1,-1,1,1,-1,-1,1,0,1,1,1,1
1,-1,1,1,1,-1,-1,-1,1,1,1,1,-1,1,0,1,1,1,-1
1,-1,1,1,1,-1,1,1,-1,1,1,1,1,1,0,1,1,1,-1
1,-1,1,1,1,1,-1,1,-1,1,1,1,1,1,0,1,1,1,1
1,1,1,1,1,-1,-1,1,-1,-1,1,1,1,1,0,1,-1,1,-1
1,-1,1,1,1,-1,0,1,-1,-1,1,1,1,-1,0,1,-1,1,1
-1,1,-1,1,-1,-1,1,-1,-1,1,1,-1,1,1,1,1,-1,1,-1
1,-1,1,1,1,-1,0,0,1,1,1,1,-1,1,0,1,1,1,-1
1,-1,1,1,1,1,1,1,-1,1,1,1,-1,-1,0,1,1,1,1
1,-1,1,1,1,-1,1,1,-1,-1,-1,1,1,-1,0,1,-1,1,1
1,-1,1,1,1,-1,-1,-1,1,1,1,-1,-1,1,0,1,1,1,1
1,-1,1,1,1,1,0,1,-1,1,1,1,1,1,0,1,1,1,1
1,1,1,1,1,1,0,-1,-1,1,1,1,1,1,0,1,1,1,1
1,-1,1,1,1,-1,-1,1,-1,1,1,1,-1,-1,0,1,1,1,1
1,-1,1,1,1,-1,-1,-1,1,-1,1,1,-1,1,0,1,-1,1,-1
1,1,1,1,1,-1,0,1,-1,-1,-1,1,1,-1,0,1,-1,-1,1
1,-1,1,1,1,-1,0,1,-1,1,1,1,1,1,0,1,1,1,1
1,1,1,1,1,-1,1,1,-1,-1,1,1,1,1,0,1,-1,1,1
1,-1,1,1,1,1,0,-1,1,1,1,1,-1,1,0,1,1,1,1
1,-1,1,1,-1,-1,-1,1,-1,1,1,1,-1,1,1,1,1,1,-1
1,-1,1,1,-1,-1,-1,0,1,1,1,1,-1,1,1,1,1,1,-1
1,-1,1,1,1,-1,-1,1,1,1,1,-1,-1,1,0,1,1,1,1
1,-1,1,1,-1,-1,1,-1,-1,1,1,1,1,-1,1,1,1,1,-1
-1,-1,-1,1,1,-1,-1,1,1,1,1,-1,-1,-1,0,1,1,1,1
1,-1,1,1,1,-1,0,-1,1,1,1,1,-1,1,0,1,1,1,-1
1,-1,1,1,-1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,1
1,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,1,0,1,1,1,-1
-1,-1,-1,1,1,1,1,1,-1,1,1,-1,1,1,0,1,1,1,1
1,-1,1,1,1,-1,0,0,1,1,1,1,-1,-1,0,1,1,1,-1
1,-1,1,1,-1,-1,-1,1,-1,1,1,-1,-1,1,1,1,1,1,-1
1,-1,1,1,1,-1,-1,1,-1,1,1,1,1,1,0,1,1,1,-1
1,1,1,-1,1,-1,0,0,-1,1,1,1,1,1,0,1,1,1,-1
1,-1,1,1,1,-1,1,-1,-1,-1,1,1,1,1,0,1,-1,1,-1
1,-1,1,1,1,-1,1,-1,1,1,1,1,-1,1,0,1,1,1,-1
1,1,1,1,1,-1,-1,-1,1,1,1,1,-1,1,0,1,1,1,-1
1,-1,1,1,1,-1,-1,1,1,1,1,1,1,-1,0,1,1,1,-1
1,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,0,1,1,1,-1
1,-1,1,1,1,-1,0,1,1,1,1,1,-1,-1,0,1,1,1,1
1,-1,1,1,1,-1,-1,1,-1,1,1,1,1,-1,0,1,1,1,1
1,1,1,1,1,-1,1,1,-1,1,1,1,1,-1,0,1,1,1,1
-1,1,-1,1,-1,-1,-1,1,-1,1,1,-1,1,1,1,1,1,1,1
1,-1,1,1,1,-1,1,1,-1,1,1,1,1,1,0,1,1,1,1
1,-1,1,1,1,-1,-1,1,-1,-1,1,-1,1,1,0,1,-1,1,1
1,-1,1,1,1,-1,-1,1,-1,1,1,1,1,1,0,1,1,1,1
1,-1,1,-1,1,-1,-1,-1,1,1,1,1,-1,1,0,1,1,1,-1
1,-1,1,1,1,-1,1,1,-1,1,1,1,1,1,0,1,1,1,1
-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,1,1,1,1,-1,1,-1
1,-1,1,1,1,-1,0,0,-1,1,1,1,1,1,0,1,1,1,-1
1,-1,1,1,1,-1,0,1,1,-1,1,1,-1,-1,0,1,-1,1,1
1,-1,1,1,1,-1,0,1,-1,1,1,1,1,1,0,1,1,1,1
1,-1,1,1,1,-1,1,1,-1,-1,1,1,1,1,0,1,-1,1,1
1,-1,1,1,1,-1,1,1,-1,1,1,-1,1,1,0,1,1,1,1
-1,-1,-1,1,-1,-1,0,0,-1,1,1,-1,-1,1,1,1,-1,1,-1
1,1,1,1,1,1,-1,1,-1,1,1,-1,1,1,0,1,1,1,1
1,-1,1,1,1,-1,0,0,1,-1,1,-1,-1,1,0,1,-1,1,-1
1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,0,1,1,1,1
-1,-1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,1,1,1,1,1,1
1,-1,1,1,1,-1,1,1,-1,1,1,1,1,1,0,1,1,1,1
1,-1,1,1,1,-1,-1,1,1,1,1,1,-1,1,0,1,1,1,-1
1,-1,1,1,1,1,0,1,-1,1,1,1,1,1,0,1,1,1,1
-1,-1,-1,1,-1,-1,0,0,-1,-1,1,-1,1,1,0,1,-1,1,-1
1,-1,1,1,1,-1,1,1,-1,1,1,1,1,1,0,1,1,1,1
1,-1,1,1,1,-1,-1,1,1,1,1,1,-1,1,0,1,1,1,1
-1,-1,-1,1,-1,1,-1,1,-1,1,1,-1,-1,1,0,1,1,1,1
1,-1,1,1,1,-1,0,1,1,1,1,-1,-1,1,0,1,1,1,-1
1,-1,1,1,1,1,-1,1,-1,-1,1,-1,1,1,0,1,-1,1,1
1,-1,1,1,1,-1,-1,-1,1,1,1,1,-1,1,0,1,1,1,-1
1,-1,1,1,1,-1,0,-1,1,1,1,1,1,1,0,1,1,1,-1
1,-1,1,1,1,-1,-1,1,-1,1,1,1,1,1,0,1,1,1,1
1,-1,1,1,1,-1,0,1,-1,1,1,1,-1,1,0,1,1,1,1
1,-1,1,1,1,-1,-1,1,-1,1,1,1,1,1,0,1,1,1,1
1,-1,1,1,1,1,-1,1,1,1,1,1,-1,1,0,1,1,1,1
-1,-1,-1,1,-1,-1,1,1,-1,1,1,-1,1,1,0,1,1,1,1
1,-1,1,1,1,-1,-1,1,-1,1,1,1,1,1,0,1,1,1,-1
1,-1,1,1,1,-1,1,1,1,1,1,1,-1,1,0,1,1,1,1
1,-1,1,1,1,-1,-1,1,-1,1,1,1,-1,1,0,1,1,1,-1
1,-1,1,1,1,-1,0,1,-1,1,1,1,1,1,0,1,1,1,1
1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,0,1,1,1,-1
-1,-1,-1,1,-1,-1,0,-1,1,-1,1,-1,-1,1,0,1,-1,-1,-1
1,-1,1,1,1,-1,0,1,-1,1,1,1,1,1,0,1,1,1,1
1,-1,1,1,1,-1,-1,1,-1,1,1,1,1,1,0,1,1,1,1
1,-1,1,1,1,-1,0,0,-1,1,1,1,1,1,0,1,1,1,-1
1,-1,1,1,1,1,1,1,-1,-1,-1,1,1,-1,0,1,-1,1,1
1,-1,1,1,1,-1,0,0,-1,1,1,1,1,1,0,1,1,1,-1
1,-1,1,1,1,-1,-1,-1,-1,1,1,1,-1,1,0,1,1,1,-1
-1,-1,-1,1,-1,-1,0,-1,-1,1,1,-1,1,1,0,1,1,1,1
1,1,1,1,1,-1,0,1,-1,1,1,1,1,1,0,1,1,1,1
1,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,1,0,1,1,1,-1
1,-1,1,1,1,-1,0,0,-1,1,1,1,1,-1,0,1,1,1,-1
1,-1,1,1,1,1,1,1,-1,1,1,1,1,-1,0,1,1,1,1
1,-1,1,1,1,-1,0,0,-1,1,1,1,-1,-1,0,1,1,1,-1
1,1,1,1,1,-1,0,-1,-1,-1,1,1,1,-1,0,1,-1,1,1
1,-1,1,1,1,1,0,1,1,1,1,1,-1,1,0,1,1,1,1
1,-1,1,1,1,-1,-1,1,-1,1,1,1,1,1,0,1,1,1,1
1,-1,1,1,1,-1,-1,0,1,1,1,1,1,1,0,1,1,1,-1
-1,1,-1,1,-1,-1,0,-1,-1,-1,1,-1,1,1,0,1,-1,1,-1
1,-1,1,1,1,-1,1,1,1,1,1,1,-1,1,0,1,1,1,1
1,-1,1,1,1,-1,1,1,-1,1,1,1,1,1,0,1,1,1,1
1,1,1,1,1,-1,1,1,-1,1,1,-1,1,1,0,1,1,1,1
1,-1,1,1,1,-1,-1,-1,1,1,1,-1,-1,1,0,1,1,1,-1
1,-1,1,1,1,-1,0,1,1,1,1,-1,-1,1,0,1,1,1,1
-1,-1,-1,1,-1,-1,0,1,1,1,1,-1,-1,1,0,1,1,1,1
1,-1,1,1,1,-1,-1,-1,1,1,1,1,-1,1,0,1,1,1,1
1,-1,1,1,1,-1,0,1,1,1,1,1,-1,1,0,1,1,1,1
1,1,1,1,1,-1,-1,1,-1,-1,1,1,1,1,0,1,-1,1,1
1,-1,1,-1,1,-1,0,0,-1,1,1,1,-1,1,0,1,1,1,-1
1,-1,1,1,1,-1,1,1,-1,1,1,1,1,1,0,1,1,1,1
1,-1,1,1,1,-1,0,1,1,1,1,1,-1,1,0,1,1,1,1
1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,1,0,1,1,1,-1
1,-1,1,1,1,-1,1,1,-1,1,1,1,1,1,0,1,1,1,1
1,-1,1,1,1,-1,0,-1,1,1,1,1,-1,1,0,1,1,1,-1
1,1,1,1,1,-1,1,1,1,-1,1,1,-1,1,0,1,-1,1,1
1,-1,1,1,1,-1,1,1,-1,1,1,1,1,1,0,1,1,1,1
1,1,1,1,1,-1,0,0,-1,1,1,1,1,1,0,1,1,1,-1
1,-1,1,1,1,-1,0,-1,1,1,1,-1,-1,1,0,1,1,1,-1
1,-1,1,1,1,-1,-1,1,-1,1,1,1,-1,1,0,1,1,1,-1
1,-1,1,1,1,-1,-1,1,1,-1,1,1,-1,1,0,1,-1,1,-1
1,-1,1,1,1,-1,-1,1,-1,-1,1,1,1,1,0,1,-1,1,1
-1,-1,-1,1,-1,-1,1,1,1,-1,1,-1,-1,1,1,1,-1,1,1
1,-1,1,1,1,-1,-1,1,1,1,1,1,-1,1,0,1,1,1,-1
1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,0,1,-1,1,-1
1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,0,1,1,1,1
1,-1,1,1,1,-1,0,1,-1,-1,1,1,1,1,0,1,-1,1,1
1,-1,1,1,1,-1,-1,1,1,1,1,1,-1,1,0,1,1,1,1
-1,1,-1,1,-1,-1,0,1,1,-1,1,-1,-1,1,1,1,-1,1,1
1,-1,1,1,1,-1,-1,1,1,1,1,1,-1,1,0,1,1,1,1
1,-1,1,1,1,-1,-1,1,-1,1,1,1,-1,1,0,1,1,1,1
1,-1,1,1,1,1,-1,1,-1,-1,1,1,1,1,0,1,-1,1,1
-1,-1,-1,1,-1,1,1,1,1,1,1,-1,-1,1,1,1,1,1,1
1,-1,1,-1,1,-1,0,0,-1,1,1,-1,-1,1,0,1,1,1,-1
1,-1,1,1,1,-1,1,1,-1,1,1,1,1,1,0,1,1,1,1
1,-1,1,1,1,-1,0,-1,1,-1,1,1,-1,1,0,1,-1,1,-1
1,-1,1,1,1,-1,1,1,-1,1,1,1,1,1,0,1,1,1,-1
1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,0,1,1,1,1
1,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,1,0,1,1,1,-1
1,-1,1,1,1,-1,0,-1,1,1,1,1,1,1,0,1,1,1,-1
1,1,1,1,1,-1,1,1,-1,1,1,1,1,1,0,1,-1,1,-1
-1,1,-1,1,-1,-1,-1,1,-1,1,1,-1,1,1,1,1,1,1,-1
1,-1,1,1,1,-1,-1,-1,-1,1,1,1,-1,1,0,1,1,1,-1
1,-1,1,1,1,-1,-1,-1,1,1,1,1,-1,1,0,1,1,1,-1
1,-1,1,1,1,-1,-1,-1,-1,1,1,-1,-1,1,0,1,1,1,-1
-1,-1,-1,1,-1,-1,0,-1,-1,1,1,-1,1,1,1,1,-1,1,-1
1,-1,1,1,1,-1,-1,-1,1,1,1,1,-1,1,0,1,1,1,1
1,-1,1,1,1,1,-1,1,1,1,1,1,-1,1,0,1,1,1,1
1,-1,1,1,1,-1,-1,-1,1,1,1,1,-1,1,0,1,1,1,-1
1,-1,1,1,1,-1,1,1,-1,1,1,1,1,1,0,1,1,1,1
1,-1,1,1,1,-1,0,0,1,1,1,1,-1,1,0,1,1,1,-1
1,-1,1,1,1,-1,0,-1,1,1,1,1,-1,1,0,1,1,1,-1
1,-1,1,1,1,-1,0,1,-1,1,1,1,1,1,0,1,1,1,1
1,-1,1,1,1,-1,0,1,-1,1,1,1,1,1,0,1,1,1,1
1,1,1,1,1,-1,0,1,-1,-1,1,1,1,1,0,-1,-1,-1,1
1,-1,1,1,1,-1,1,1,-1,1,1,1,1,1,0,1,1,1,1
1,-1,1,1,1,-1,0,-1,1,1,1,1,-1,1,0,1,1,1,1
1,-1,1,1,1,-1,-1,1,1,1,1,-1,-1,-1,0,1,1,1,1
1,-1,1,1,1,-1,-1,-1,-1,1,1,-1,1,-1,0,1,1,1,-1
1,-1,1,1,1,1,0,1,-1,-1,1,-1,1,-1,0,-1,-1,-1,1
1,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,0,1,1,1,-1
1,-1,1,1,1,1,0,1,-1,1,1,1,1,1,0,1,1,1,1
1,-1,1,-1,1,1,1,1,-1,1,1,1,1,1,0,1,1,1,1
-1,1,-1,1,-1,1,0,1,-1,1,1,-1,1,1,1,1,1,1,1
1,-1,1,1,1,-1,0,-1,-1,1,1,1,1,1,0,1,1,1,-1
-1,1,-1,1,-1,1,1,1,-1,1,1,-1,1,1,1,1,1,1,1
1,-1,1,1,1,-1,0,1,1,-1,1,1,-1,1,0,1,-1,-1,1
1,-1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,-1,0,1,-1,1,1
1,-1,1,1,1,-1,0,1,-1,1,1,1,1,1,0,1,1,1,1
1,-1,1,1,1,-1,1,1,-1,1,1,1,1,1,0,1,1,1,1
1,-1,1,1,1,-1,1,1,-1,-1,-1,1,-1,-1,0,1,-1,1,1
1,-1,1,1,1,-1,0,-1,-1,1,1,1,1,1,0,1,1,1,1
1,-1,1,1,1,-1,-1,-1,1,1,1,1,-1,1,0,1,1,1,-1
1,-1,1,1,1,-1,1,1,-1,1,1,1,1,1,0,1,1,1,1
1,-1,1,1,1,-1,1,1,1,-1,1,1,-1,1,0,1,-1,1,1
1,-1,1,1,1,-1,0,-1,-1,1,1,1,-1,1,0,1,-1,1,-1
1,-1,1,1,1,-1,1,1,1,1,1,1,1,1,0,1,1,1,1
-1,1,-1,1,-1,1,1,1,-1,1,1,-1,-1,1,1,1,1,1,1
1,-1,1,1,1,-1,-1,-1,1,1,1,1,-1,1,0,1,1,1,-1
1,-1,1,1,1,-1,-1,1,-1,1,1,1,1,1,0,1,1,1,-1
1,-1,1,-1,1,-1,0,0,1,1,1,1,-1,1,0,1,1,1,-1
1,-1,1,-1,1,-1,-1,1,-1,1,1,1,1,1,0,1,1,1,1
1,-1,1,1,1,-1,1,1,-1,1,1,1,1,1,0,1,1,1,1
1,-1,1,1,1,-1,0,-1,-1,-1,1,1,1,1,0,1,-1,1,-1
1,-1,1,-1,1,-1,-1,1,-1,1,1,1,1,1,0,1,1,1,1
-1,1,-1,1,-1,1,0,-1,-1,1,1,-1,1,1,1,1,1,1,1
1,-1,1,1,1,-1,1,1,-1,-1,-1,1,1,-1,0,1,-1,-1,1
1,-1,1,1,1,-1,-1,-1,-1,1,1,1,-1,1,0,1,1,1,-1
1,-1,1,1,1,1,-1,1,1,-1,-1,1,-1,-1,0,1,-1,-1,1
1,-1,1,1,1,-1,-1,1,-1,1,1,1,1,-1,0,1,-1,-1,1
1,1,1,1,1,-1,-1,1,-1,1,1,1,1,1,0,1,1,1,1
1,-1,1,1,1,-1,0,-1,1,1,1,1,-1,1,0,1,1,1,-1
1,-1,1,1,1,-1,-1,1,1,-1,1,1,1,1,0,-1,-1,-1,1
1,-1,1,1,1,-1,0,0,1,1,1,1,-1,1,0,1,1,1,-1
1,1,1,-1,1,1,-1,1,-1,1,1,1,1,1,0,1,1,1,1
1,-1,1,1,1,-1,0,-1,-1,1,1,1,1,1,0,1,1,1,-1
1,-1,1,1,1,-1,1,1,-1,-1,1,1,1,1,0,1,-1,-1,1
1,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,1,0,1,1,1,-1
1,-1,1,1,1,-1,0,1,1,1,1,1,-1,1,0,1,1,1,1
1,1,1,1,1,-1,0,1,-1,-1,1,1,1,1,0,1,-1,-1,1
1,-1,1,1,1,-1,1,1,-1,1,1,-1,1,1,0,1,1,1,1
1,-1,1,1,1,-1,-1,1,1,1,1,1,-1,1,0,1,1,1,1
1,-1,1,-1,1,-1,-1,1,-1,1,1,1,-1,1,0,1,1,1,1
1,-1,1,1,1,-1,-1,1,-1,1,1,1,1,1,0,1,1,1,1
1,-1,1,1,1,-1,1,1,-1,-1,1,1,1,1,0,1,-1,1,1
1,-1,1,1,1,-1,0,0,-1,-1,1,1,1,1,0,1,-1,1,-1
1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,1,0,1,1,1,-1
1,-1,1,1,1,-1,-1,1,1,1,1,1,-1,1,0,1,1,1,1
1,1,1,1,1,-1,-1,1,-1,1,1,1,1,1,0,1,1,1,1
